target,rmse,mae,r2,used_cv,clf_accura,clf_precisi,clf_recall,clf_f1,threshold,tp,fp,tn,fn,support
cost_usd,0.001211285416574955,0.000993215413135185,0.11345743339708902,FALSE,0.43137254901960786,0.22857142857142856,0.8,0.35555555555555557,0.001917,8,27,14,2,51
accuracy,0.3198092144634578,0.29003850606725656,0.0072144826921695104,FALSE,0.49019607843137253,0.46875,0.625,0.5357142857142857,0.65,15,17,10,9,51
latency_m,33.69184543502502,26.842932648363295,-0.04201974278258325,FALSE,0.29411764705882354,0.29411764705882354,1.0,0.45454545454545453,19.64,15,36,0,0,51
