target,rmse,mae,r2,used_cv,clf_accura,clf_precisi,clf_recall,clf_f1,threshold,tp,fp,tn,fn,support
cost_usd,0.0017510694146268316,0.0015093998514050305,-0.8527351479764578,FALSE,0.8431372549019608,0.6666666666666666,0.4,0.5,0.001917,4,2,39,6,51
accuracy,0.3254984826430012,0.294939300891221,-0.0284221564207201,FALSE,0.47058823529411764,0.47058823529411764,1.0,0.64,0.65,24,27,0,0,51
latency_m,33.76371057720936,26.98030064487831,-0.046469766889784214,FALSE,0.29411764705882354,0.29411764705882354,1.0,0.45454545454545453,19.64,15,36,0,0,51
