target,rmse,mae,r2,used_cv,clf_accura,clf_precisi,clf_recall,clf_f1,threshold,tp,fp,tn,fn,support
cost_usd,1.22503191266874,0.8677619472933721,-906777.9306200538,FALSE,0.39215686274509803,0.043478260869565216,0.1,0.06060606060606061,0.001917,1,22,19,9,51
accuracy,1.1184692639030742,0.8610965237494765,-11.142876994888304,FALSE,0.47058823529411764,0.2857142857142857,0.08333333333333333,0.12903225806451613,0.65,2,5,22,22,51
latency_m,31.444633989242558,21.613273472415703,0.09234785964564396,FALSE,0.47058823529411764,0.2692307692307692,0.4666666666666667,0.34146341463414637,19.64,7,19,17,8,51
