target,rmse,mae,r2,used_cv,clf_accura,clf_precisi,clf_recall,clf_f1,threshold,tp,fp,tn,fn,support
cost_usd,6.939134665468661,4.480859974324696,-29094924.351497367,FALSE,0.47058823529411764,0.18518518518518517,0.5,0.2702702702702703,0.001917,5,22,19,5,51
accuracy,10.100464115753013,5.497629159145486,-989.2757585695663,FALSE,0.47058823529411764,0.45161290322580644,0.5833333333333334,0.509090909090909,0.65,14,17,10,10,51
latency_m,38.49290854091103,23.98621932943007,-0.36015312540459776,FALSE,0.5490196078431373,0.34615384615384615,0.6,0.43902439024390244,19.64,9,17,19,6,51
