target,rmse,mae,r2,used_cv,clf_accura,clf_precisi,clf_recall,clf_f1,threshold,tp,fp,tn,fn,support
cost_usd,0.5890364217487342,0.47186947445321664,-209647.09196971016,FALSE,0.39215686274509803,0.24390243902439024,1.0,0.39215686274509803,0.001917,10,31,10,0,51
accuracy,1.5621240239350125,1.1106572627628524,-22.686697334265464,FALSE,0.6274509803921569,0.6086956521739131,0.5833333333333334,0.5957446808510638,0.65,14,9,18,10,51
latency_m,30.45395074013576,22.4325960538004,0.1486392385579146,FALSE,0.43137254901960786,0.26666666666666666,0.5333333333333333,0.35555555555555557,19.64,8,22,14,7,51
