target,rmse,mae,r2,used_cv,clf_accura,clf_precisi,clf_recall,clf_f1,threshold,tp,fp,tn,fn,support
cost_usd,0.0003148944437857304,0.00021453921009037278,0.9400848554900723,FALSE,0.9607843137254902,1.0,0.8,0.8888888888888888,0.001917,8,0,41,2,51
accuracy,0.18702050582273247,0.09523155148706174,0.6604904911588609,FALSE,0.9019607843137255,0.9523809523809523,0.8333333333333334,0.8888888888888888,0.65,20,1,26,4,51
latency_m,19.098145217921974,9.961385582399602,0.6651820517376545,FALSE,0.8431372549019608,0.6666666666666666,0.9333333333333333,0.7777777777777778,19.64,14,7,29,1,51
