target,rmse,mae,r2,used_cv,clf_accura,clf_precisi,clf_recall,clf_f1,threshold,tp,fp,tn,fn,support
cost_usd,0.013347414549984697,0.013285273529411768,-106.64674793351011,FALSE,0.19607843137254902,0.19607843137254902,1.0,0.32786885245901637,0.001917,10,41,0,0,51
accuracy,0.30024736366042754,0.23515296588642617,0.12495196625659655,FALSE,0.6078431372549019,0.5588235294117647,0.7916666666666666,0.6551724137931034,0.65,19,15,12,5,51
latency_m,33.78452848839981,17.242646426440505,-0.04776062209822052,FALSE,0.7058823529411765,0.0,0.0,0.0,19.64,0,0,36,15,51
