target,rmse,mae,r2,used_cv,clf_accura,clf_precisi,clf_recall,clf_f1,threshold,tp,fp,tn,fn,support
cost_usd,0.00017389517927991839,9.900305751633989e-05,0.9817281845108649,FALSE,1.0,1.0,1.0,1.0,0.001917,10,0,41,0,51
accuracy,0.17526740927064707,0.09270201265071902,0.7018218457569347,FALSE,0.9215686274509803,0.9545454545454546,0.875,0.9130434782608695,0.65,21,1,26,3,51
latency_m,15.000134740678979,7.910275826086736,0.7934540571938519,FALSE,0.8431372549019608,0.6666666666666666,0.9333333333333333,0.7777777777777778,19.64,14,7,29,1,51
